Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Notes
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA,,,,,655036,3914,4514.54,0.87,0.84,0.89,Better,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Abdominal aortic aneurysm repair,,,,,263,2,1.79,1.12,0.19,3.7,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Appendix surgery,,,,,30137,78,124.47,0.63,0.5,0.78,Better,
2024,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",,,,,6739,250,228.93,1.09,0.96,1.23,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,,,,,15683,42,65.16,0.65,0.47,0.86,Better,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesarean section,,,,,114380,242,225.73,1.07,0.94,1.21,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,,,,,30029,634,826.16,0.77,0.71,0.83,Better,
2024,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest and donor incisions",,,,,13815,98,107.87,0.91,0.74,1.1,Same,
2024,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest incision only",,,,,1459,8,11.4,0.7,0.33,1.33,Same,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),,,,,44348,310,273.01,1.14,1.01,1.27,Worse,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,,,,,54172,179,219.38,0.82,0.7,0.94,Better,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gastric surgery,,,,,20246,100,160.91,0.62,0.51,0.75,Better,
2024,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Heart transplant,,,,,565,2,6.89,0.29,0.05,0.96,Better,
